Miasto,Data_Pomiaru,Temperatura,Wilgotosc,Cisnienie,Wiatr,Deszcz,Snieg,Zachmurzenie,Rok,Miesiac
Krakow,5/9/2023,8,66,988,24,0,0,1,2023,5
Krakow,11/3/2021,7,86,972,17,0,0,31,2021,11
Krakow,5/25/2022,12,93,979,11,6,0,93,2022,5
Krakow,9/29/2023,17,54,985,10,0,0,1,2023,9
Krakow,11/18/2021,4,84,987,25,0,0,96,2021,11
Krakow,4/20/2022,4,73,976,15,0,0,44,2022,4
Krakow,2/13/2022,0,85,989,12,0,0,19,2022,2
Krakow,7/20/2022,23,42,987,9,0,0,0,2022,7
Krakow,7/23/2022,24,63,980,7,13,0,45,2022,7
Krakow,10/16/2023,6,68,985,23,0,0,67,2023,10
Krakow,11/30/2021,1,83,965,41,3,0,96,2021,11
Krakow,12/2/2021,4,83,964,26,0,0,93,2021,12
Krakow,8/24/2021,12,94,983,15,7,0,85,2021,8
Krakow,3/11/2022,-3,67,999,15,0,0,2,2022,3
Krakow,2/20/2021,0,98,989,8,0,0,98,2021,2
Krakow,3/22/2022,6,69,999,9,0,0,0,2022,3
Krakow,5/17/2023,9,96,980,18,22,0,100,2023,5
Krakow,5/16/2023,13,80,976,11,4,0,77,2023,5
Krakow,5/12/2022,18,55,979,25,0,0,42,2022,5
Krakow,7/15/2023,23,52,980,11,0,0,1,2023,7
Warszawa,5/15/2023,13,84,998,23,4,0,79,2023,5
Krakow,7/18/2021,21,81,978,12,6,0,58,2021,7
Warszawa,3/22/2022,7,72,1026,7,0,0,0,2022,3
Warszawa,7/15/2023,23,49,1004,12,0,0,13,2023,7
Warszawa,6/18/2023,17,83,1003,4,5,0,79,2023,6
Krakow,6/18/2023,16,79,981,9,3,0,11,2023,6
Krakow,5/15/2023,13,84,973,13,6,0,88,2023,5
Krakow,5/30/2021,9,94,985,13,7,0,71,2021,5
Krakow,6/17/2023,15,78,979,9,1,0,80,2023,6
Warszawa,6/17/2023,19,63,1000,5,0,0,91,2023,6
Warszawa,5/14/2023,17,49,1008,19,0,0,70,2023,5
Warszawa,9/5/2021,10,65,1015,9,0,0,12,2021,9
Krakow,5/14/2023,12,74,982,15,5,0,68,2023,5
Krakow,9/6/2021,10,67,990,10,0,0,6,2021,9
Krakow,4/9/2021,4,64,987,17,0,0,34,2021,4
Krakow,1/2/2021,0,91,978,12,0,0,61,2021,1
Warszawa,2/20/2021,1,100,1013,15,0,0,100,2021,2
Warszawa,7/14/2023,19,67,1005,13,0,0,19,2023,7
Warszawa,5/30/2021,13,71,1009,22,1,0,43,2021,5
Krakow,5/31/2021,11,76,986,14,0,0,35,2021,5
Krakow,10/29/2021,7,63,983,10,0,0,82,2021,10
Krakow,2/21/2021,0,95,989,9,0,0,93,2021,2
Warszawa,1/2/2021,0,94,1005,10,3,0,100,2021,1
Warszawa,5/12/2022,18,57,1000,29,0,0,34,2022,5
Krakow,1/3/2021,0,91,979,14,0,0,88,2021,1
Krakow,11/10/2022,7,91,990,16,1,0,85,2022,11
Krakow,7/14/2023,19,64,982,11,0,0,32,2023,7
Warszawa,6/16/2023,18,59,1003,4,0,0,72,2023,6
Krakow,12/17/2021,2,96,992,29,3,0,100,2021,12
Warszawa,7/18/2021,23,71,1002,14,1,0,35,2021,7
Krakow,3/23/2022,9,47,993,7,0,0,0,2022,3
Krakow,7/19/2021,20,66,981,15,0,0,23,2021,7
Krakow,5/13/2022,15,67,980,14,0,0,64,2022,5
Warszawa,2/21/2021,1,99,1013,20,0,0,100,2021,2
Krakow,2/22/2021,1,99,989,9,0,0,100,2021,2
Warszawa,11/9/2022,8,89,1004,22,0,0,77,2022,11
Warszawa,5/13/2023,15,54,1012,14,0,0,73,2023,5
Krakow,5/13/2023,11,69,986,18,0,0,53,2023,5
Warszawa,3/23/2022,9,66,1018,15,0,0,2,2022,3
Krakow,3/24/2022,7,55,990,10,0,0,1,2022,3
Warszawa,5/13/2022,15,63,1004,16,2,0,67,2022,5
Warszawa,1/3/2021,0,97,1005,20,0,0,100,2021,1
Krakow,5/14/2022,14,65,982,16,0,0,64,2022,5
Warszawa,4/9/2021,5,69,1007,27,0,0,38,2021,4
Krakow,1/4/2021,0,97,979,9,0,0,76,2021,1
Warszawa,2/22/2021,2,100,1013,17,0,0,100,2021,2
Krakow,2/23/2021,3,90,997,13,0,0,68,2021,2
Warszawa,1/4/2021,1,98,1005,16,1,0,100,2021,1
Warszawa,9/6/2021,10,60,1015,6,0,0,34,2021,9
Krakow,11/9/2022,6,86,982,9,0,0,38,2022,11
Warszawa,7/12/2023,21,65,1001,12,4,0,63,2023,7
